name,old_price,new_price,promotion,reviews_amount,reviews_rating_number
Café Em Grão Delta Gold,123,111,10% OFF,(1),5.0
Café Especial Carmo De Minas Moído 500g Ruby,159,32,,(1),5.0
Kit 4 Kg Café Torrado Em Grãos 100% Arábica São Sebastião,429,41,,(55),4.9
Café Artesanal Em Pó 100% Arábica Gourmet Mineiro 250g Puro,24,,,(1),5.0
Café Gourmet Premium Terrazu - 3 Kg Torrado Em Grãos,309,30,,(2),5.0
Kit 3 Kg Café Gourmet Em Grão Ouro Da Mogiana,359,35,,(1),5.0
Café Grãos Torrado 1 Kg Blend 100% Arábica Gourmet Artesanal,117,106,8% OFF,(238),4.8
Café De Qualidade Gourmet- 4 Kgs ,432,397,8% OFF,(4),2.8
Café Moído 500g 100% Arábica Torra Média/escura Alta Mogiana,64,52,18% OFF,,
Café Floresta Moído Aromas Trufas De Chocolate 100g Kit 4un.,95,,,,
Café Gourmet Grãos Torrado Torra Média Clara 500g Mill Grãos,73,,,,
1kg Café Gourmet Torrado Em Grãos 100% Arábica Alta Mogiana,189,108,43% OFF,(15),4.3
Café Gourmet Chocolate Intenso Em Grãos 150g - Netcafés,54,,,(1),5.0
Café Gourmet Moido 500g Loretto Especial Torra Media 2 Und,120,,,(3),4.7
1 Kg Café Vô Luiz Graos 100% Arábica Entrega Rápida Em Rj,99,,,(1),5.0
1 Kg. Café Vô Luiz Em Grão-torrado - 100%arábica/gourmet,99,,,(1),4.0
Café Grãos Torrado 3 Kg Blend 100% Arábica Gourmet Artesanal,297,49,,(42),4.7
Café Gourmet Torrado E Moído Cortez Pacote 250g 100% Arábica,33,16,,,
Café Bento Grão Especial - Café Torrado E Moído - Cx 1 Kg,157,31,,(2),5.0
5kg Café Vô Luiz Gourmet- Intenso -grão Torrado-100% Arábica,453,43,,,
Café Gourmet Arábica Torrado Em Grãos Vó Liani 4 Unidades,184,174,5% OFF,(1),5.0
Café Especial Dupan Em Grãos 1kg Arábica Gourmet,114,,,(6),4.8
Café Gourmet Grassy Caffè - 1 Kg,102,,,(8),3.8
Kit 5 Café Floresta Aromatizado Trufas De Chocolate - 100g,101,25,,(15),4.9
Kit Café Especial/gourmet 100% Arábica Terra Molhada,77,15,,,
Café Gourmet Grassy Caffè - 1 Kg Em Grãos,104,,,(11),4.7
Café Torrado E Moido 500g Especial Gourmet Torra Media 2 Und,120,,,(3),4.7
1 Kg Café Gourmet Em Grão Ouro Da Mogiana,149,,,(36),4.8
1kg Café Vô Luiz Intenso Grãos 100% Arábica Frete Gratis,99,,,(6),4.5
500g Cófi Fazenda Luz Da Glória Café Moído 100% Arábica Nf,55,,,(20),4.8
Kit 5kg Café Em Grãos  Gourmet América ,549,55,,(16),5.0
Kit 5 Café Gourmet Appassionato Médio Em Grão Expresso 1kg,499,449,10% OFF,(80),4.7
Café Torrado E Moido 500g Especial Gourmet Torra Media 2 Und,119,,,(3),4.7
Café Torrado Em Grãos 1kg Gourmet Especial Torra Média,121,,,(3),4.7
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Kit 2 Café Vó Liani 500g Torrado E Moído + Balança Dosadora,106,26,,(7),4.9
Café Torrado e Moído Gourmet Origem Especial Cerrado Mineiro Café do Centro 250g,34,,,(4),4.8
Cafe Em Pó Unique Organico 250g,59,,,(3),5.0
Café Gourmet Terrazu Premium 500g Torrado Em Grãos Especial,56,,,(5),4.0
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Em Grãos - 1 Kg Café Gourmet - Espresso,139,,,(1),5.0
Café Prima Qualita Sachê Sistema E.s.e Cx Com 150 Unidades,394,38,,,
Café Em Grãos Appassionato Arábica Gourmet 250gr,28,,,(2),4.5
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Kit 3kg Café Especial Dupan Em Grãos Arábica Gourmet,309,285,7% OFF,(2),5.0
Cafe Em Grãos Espressione Intenso 500g Gourmet,61,,,(3),4.7
Kit Café Expresso Especial Torra Média 4kg Torrado Grãos,409,39,,(6),5.0
Café Especial 250g Moído E Torrado Avalon Sabor Gourmet,49,24,,(1),5.0
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Expresso Em Grãos Delta Café Gold Gourmet Kit 2kg,238,215,10% OFF,(5),5.0
Café Torrado e Moído Sul de Minas Café do Centro Gourmet Pacote 250g,32,,,(2),5.0
Café Em Grãos - Gourmet 500 Gramas,85,,,,
Kit Com 4kg Café Expresso Torrado Em Grãos Direto Da Fazenda,399,39,,(6),5.0
2 Café Torrado E Moído G3 Coffee 100% Arábica 250g Sul De Mg,45,43,5% OFF,,
Café Tipo moca torrado moído 250g Vulcânica Cafés Especiais,54,50,8% OFF,,
Café Jacu Bird - 100g Em Grãos Cod 1948,208,34,,(38),4.8
Café Torrado e Moído L'OR Torras Ultimo 250g,39,,,(23),4.9
Café Gourmet Grassy - 2 Kg,218,21,,(6),5.0
Café Em Pó Baggio - 5 Pacotes - 1.250g - Café Aromatizado,259,43,,(4),5.0
Café Torrado E Moído G3 Coffee 100% Arábica 250g Sul De Mg,26,,,,
Café Em Pó Saborizado 250g Vanilla & Nozes 100% Arábica,45,22,,(4),5.0
Drip Coffee Prima Qualita Cx Com 10 Sachês,49,,,(6),5.0
"Café Gourmet Em Grãos 1,5 Kg 100% Arábica Reg. Vulcânica 82",217,,,,
1kg Café Torrado Em Grãos 100% Arábica - Fraterno Gourmet,99,19,,,
Café Especial Em Grãos Frutas Amarelas 250g - Netcafés,77,,,,
Café Torrado em Grãos Arábica Gourmet Loretto 1Kg,110,,,(33),4.5
Café Torrado E Moído Baobá Gourmet Torra Média Pacote 500g,109,,,,
Café Em Grãos Torrado 100% Arábica Torra Media Expresso 1kg,107,93,13% OFF,(8),4.9
Café Torrado Grãos Superior 01 Kg 100% Arábica Artesanal,105,,,(25),4.7
Café Jacu Bird Torrado E Moído Camocim Kit 3 Sachês 100g,499,48,,(2),5.0
Café Torrado Grãos 05kg Superior 100% Arábica Artesanal ,510,49,,(20),4.9
Café Torrado Médio Em Graos 100% Arábica Gourmet 1kg Gaggia,141,35,,(6),4.2
Kit 10kg Café Em Grãos  Gourmet América ,1.049,101,,(4),4.5
Café Torrado Em Grãos 3 Corações Sul de Minas e Espírito Santo 500gr,128,,,(13),5.0
Café Torrado Médio Em Graos Gourmet 100% Arábica 1kg Gaggia,141,,,(6),4.7
Café Em Grãos Espresso Cremoso 5kg Suave Fazenda,489,47,,(13),4.9
 05 Kg Café Expresso Em Grãos Gourmet Prima Qualità,799,66,,(16),5.0
Café Moído Gourmet Appassionato Delicato 250g,31,27,10% OFF,(4),4.5
Café Anta Brava Gourmet 500g - Moído ,59,29,,(8),5.0
Café Gourmet Grassy - 1 Kg,109,,,(9),4.7
Café Grãos Torrado 1 Kg Blend 100% Arábica Gourmet Artesanal,99,,,(1),5.0
Café Gourmet Grãos Torrado Torra Escura 500g Mill Grãos,69,63,7% OFF,,
Café João Arcanjo Gourmet Artesanal 1kg Grãos/moído,113,,,(2),5.0
Café Gourmet Lor 250g Torras Delicado Torra Suave,39,,,(2),5.0
4 Un. Café Gourmet Em Pó Ouro Da Mogiana Torrado Moído 500g,294,268,8% OFF,(4),4.5
Café Bourbon Em Grãos 500g Prensa Francesa 600ml Moedor Inox,209,193,8% OFF,,
"10kg Café Torrado Em Grãos Bebida Mole, Peneira 16 Acima",875,805,8% OFF,(1),5.0
Café 100% Arábica Especial Torrado E Moído 500g Duas Irmãs,52,49,5% OFF,(3),3.0
Café Torrado E Moído L'or Ultimo Gourmet Pouch 250g,42,21,,,
Café Torrado Em Grãos Gourmet Legusta Dolce - 1kg,111,,,(7),4.7
Café Nespresso Compatível Termogênico Healthy 40 Café Italle,162,149,8% OFF,,
Café Arábico Torra Média Grão Gourmet 1kg+cafeteira Italiana,199,183,8% OFF,,
Café De Açaí Chafe Torrado E Moído Descafeinado - 1 Kg,53,,,(33),4.3
Café Cru Em Grãos Saco 1 Kg 100% Arábica Alta Mogiana,89,,,(134),4.7
Café Grãos Torrado 5 Kg Blend 100% Arábica Gourmet Artesanal,499,55,,(71),4.8
Drip Coffee Café Moído Prima Qualità,54,,,(5),5.0
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Gourmet Members Mark  Tm 1kg,160,,,,
Café Vô Luiz Grãos 100% Arábica- Frete Grátis - Sc,99,,,,
Cafe Em Graos Torrado 100% Arabica 5kg 80pts +,489,47,,(22),4.6
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Drip Cofree Especial 100g 10 Unidades 100% Arábica,48,36,25% OFF,,
Torrado 10 Quilos De Café Em Grãos Coffe Farm 100 % Arábica ,930,89,,(1),4.0
Café Gourmet Especial Pistache Uncoffee 250g,78,15,,,
2 Café Torrado E Moído G3 Coffee 100% Arábica 250g Sul De Mg,45,43,5% OFF,,
Café Tipo moca torrado moído 250g Vulcânica Cafés Especiais,54,50,8% OFF,,
Café Prima Qualita Sachê Sistema E.s.e Cx Com 200 Unidades,519,50,,(4),4.5
"Café Premium Gourmet Moído, Di Famiglia - Pack(6x250g)1,5kg",147,36,,(4),3.5
Café Especial em Grãos 1kg Torrado 84 pontos 100% Arábica Torra Média Graos Café categoria mais alta que Gourmet Bridge Coffee,159,,,(182),4.7
Kit Com 3kg Café Expresso Em Grãos Sehl,389,38,,(2),5.0
Café Especial Torrado E Moído Carmo De Minas 500g Gold,134,123,8% OFF,(3),5.0
Café Torrado E Moído Evolutto 500g - Embalado A Vácuo,54,27,,(3),5.0
Kit Linha Completa Café Gourmet Pronto Café Torra Artesanal,349,304,13% OFF,,
Café Gourmet Torrado E Moído Pó Aroma Amendoim Capresso 250g,32,16,,(2),5.0
Café Uncoffee 100% Robusta Especial 89 Pts Sca - 500g Grãos ,104,,,(13),4.7
10 Unid Café Gourmet Ouro Da Mogiana Torrado E Moído 500g,519,50,,(1),5.0
2 Pacotes Café Gourmet Em Grão Ouro Da Mogiana 500g,163,150,7% OFF,(2),5.0
Café Em Grãos Torrado 1kg Gourmet Arábica Divino Aroma,143,35,,(2),5.0
Café 100% Arábica Gourmet Torrado E Moído  500g,53,48,10% OFF,,
Café Subasio Gourmet 500 Gramas Em pó Torra Média Clara,115,,,,
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
11kg Café Gourmet Ouro Da Mogiana Em Grão - Ganhe 1kg Grátis,1.339,1.232,7% OFF,(1),5.0
Kit 2kg Café Graos Gourmet Torrado Promoção Tempo Limitado,219,21,,(83),4.8
Café Vô Luiz  Grãos 100% Arábica | Entrega Rápida Em Sp,99,,,(2),4.0
Café Tradicional 500g Moído - Sabor Encorpado E Suave,71,14,,,
Café Orfeu Especial Sensoriais De Chocolate E Castanha 250g,50,46,8% OFF,(1),5.0
1 Kg Café Vô Luiz Grao 100% Arábica Entrega Rápida No Pr,99,,,,
Café Especial 1kg Grãos Mega Promo Para Experimentar,119,,,(3),3.7
Café Floresta Moído Aromas Baunilha E Nozes 100g Kit Com 4,95,,,(2),5.0
Kit 5 Café Floresta Aromatizado Baunilha Com Nozes - 100g,101,25,,(10),4.3
Kit Com 4 Aromatizados Cafés Florestas De 100 Gramas (cada)!,110,89,19% OFF,(37),4.9
Café Torrado Em Grãos Gourmet 500g E Cápsulas Vó Liani 10und,94,87,7% OFF,,
"Café Gourmet Cgp Gold Torrado E Moído - 250g - Piatã, Ba",37,,,(3),5.0
Café Em Grãos 3 Corações Espresso Gourmet Kit 3 Unid De 1kg,406,39,,,
Kit Café Em Grãos Espressione Gourmet,189,,,(3),5.0
Café Expresso Em Grãos Delta Café Gourmet Platinum Kit 1kg,138,125,10% OFF,(2),4.5
Kit Café Gourmet Baggio Chocolate Avelã + Caramelo + Menta,152,,,(3),5.0
2 Café Artesanal Cascata 500 Gramas Gourmet Torra Média,109,,,(1),5.0
Artesanal Café 500 Gramas Gourmet Cascata Torra Forte,58,,,,
Cafe Especial Moido Arabica Premium Loretto 500g Kit 6 Und ,337,33,,(1),5.0
"Cafés Especiais Sul De Minas Kit 1,5kg - Grãos Ou Moído",267,26,,(10),4.7
Café Gourmet Especial Pistache Uncoffee Torrado 250g,78,15,,(2),5.0
20 Sachês Café Drip Coffee 3 Corações Dark Gourmet 100% Arab,58,,,(9),4.4
Café Serra Gerais - Gourmet 500g - Moido,65,,,(7),5.0
Café Torrado E Moído Gourmet Regiões Brasileiras Cerrado Pacote 250g Melitta,16,,,(81),4.8
Kit 3 Café Gourmet Floresta Aroma Baunilha E Nozes!!,70,14,,(11),4.8
Kit 3 Café Em Grãos Torrado 100% Arábica Gourmet Café Bororó,269,44,,(2),5.0
Café Gourmet 500g Torra Média 100% Arábica - Vulcânica,78,15,,(3),3.7
Café Gourmet Terrazu 3 Kg Torrado Em Grãos 100% Arábica,309,30,,(3),5.0
Café Torrado Grãos Espresso Gourmet 10kg Direto Da Fazenda,989,95,,(1),5.0
Kit Café Gourmet Baggio Chocola Avelã+trufado+caramelo+menta,195,,,(6),5.0
2 Cafés Torrados Em Grãos 100% Arábica Gourmet Especial ,124,31,,(3),4.0
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Prima Qualita Mister Superior Gourmet Torrado E Moído,61,,,(3),5.0
Café café torrado e moído Baggio Cafe Torrado em sachê 0.75 kg pacote x 3,152,,,(1),5.0
Café Sachê Prima Qualita Sachê Gourmet E.s.e Com 20 Unidades,69,,,(5),4.8
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Kit Café Torrado Em Grãos Gourmet 4kg Promo Tempo Limitado,399,39,,(3),5.0
6 Kgs Café Gourmet Torrado Em Grãos Melhor Café ,650,62,,,
Café Gourmet Torrado E Moído 250g - Cafeteira Italiana,39,36,7% OFF,(2),4.0
2 Café Torrado E Moído G3 Coffee 100% Arábica 250g Sul De Mg,45,43,5% OFF,,
Café Tipo moca torrado moído 250g Vulcânica Cafés Especiais,54,50,8% OFF,,
Cafe Em Graos Verde Beneficiado Bourbon Amarelo Loretto 1kg,102,,,,
Café Vulcânica 100% Arábica Especial Caramelo Chocolate 1kg,152,,,,
Café Torrado em Grãos Espresso Pilão Pouch 1kg,174,,,(225),4.8
Kit Com 3kg Café Expresso Em Grãos Sehl,389,38,,(2),5.0
Café Especial Torrado E Moído Carmo De Minas 500g Gold,134,123,8% OFF,(3),5.0
Café Em Grãos 100% Arábica Expresso Torrado 1kg Pontões,106,100,5% OFF,,
Artesanatto - Café Torrado E Moído 1kg Direto Produtor,109,,,(32),4.7
Café Especial Orfeu Varietais Japy Chocolate Castanha Avelã,52,48,7% OFF,,
Café Expresso Em Grãos Delta Café Arábica Gourmet 1kg,123,111,10% OFF,(5),5.0
Café Torrado Arábica Moído 500g Só Café Especial Catuai,629,60,,(4),4.0
Café Rigno Gourmet Equilibrado Torrado E Moído 250g,39,20,,(2),5.0
Café Floresta Aromatizado Baunilha Com Nozes - 100g,24,,,(8),5.0
"Café Gourmet Cgp - Torrado Em Grãos - 500g - Piatã, Ba",68,,,,
Kit 2 Cafés Rigno Gourmet Equilibrado Torrado E Moído 500g,119,110,8% OFF,,
Café Em Grãos 100% Arábica Expresso Torrado 1kg Pontões,114,108,5% OFF,,
Café Mucugê Gourmet Premium 250g,25,,,,
Café Gourmet Torrado E Moído Sul Minas 100% Arábica 250g,23,22,5% OFF,(2),5.0
Café Tinoco Torrado Grãos Expresso Gourmet 100% Arábica 1kg,92,,,,
Café Gourmet Pai E Filhos 500g 84pts - Serra Da Canastra,59,55,7% OFF,(1),5.0
Café Cortez - Gourmet - Espresso - 1kg,116,29,,(2),5.0
Café Especial/gourmet Torrado Pó 500g - Psycoffe Dark Tree,62,,,,
Gold Valle Café Especial Alta Seleção 100% Arábica Torra Méd,124,107,13% OFF,(2),5.0
Kit 2 Cafés Em Pó Gourmet Frutas Vermelhas 500g - Arara,110,27,,(1),5.0
Café Little Bean Caramelo 250g,45,22,,,
Kit 3 Kg Café Terrazza Grãos Cooxupé - Pc 1 Kg,369,36,,,
1kg De Café Moka Estritamente Mole,78,71,8% OFF,(85),4.7
Café Artezanalle Em Sachê  E.s.e. Com Torra Media ,35,,,,
"4kg De Café Torrado  Grãos Bebida Mole, Gourmet",342,33,,(31),4.7
Café Morro Grande Gourmet Torra Clara 500g- Moído,56,,,,
Kit 3kg Café Em Grãos - Serra Gerais Gourmet,267,26,,(1),5.0
Kit Com 3kg Café Expresso Em Grãos Sehl,389,38,,(2),5.0
Café Torrado Moído Member's Mark Gourmet Arábica Premium 1kg,158,,,,
Café Gourmet Don Carlos 250g,35,17,,,
Café Gourmet Especial Sul De Minas 100% Arábica(torra Clara),50,,,,
Café Gourmet Arábica Moído Com Favas De Baunilha (250gr),55,,,,
Café Moído Santa María Especial 500g Torrado,65,13,,(1),5.0
Café 100% Arábica Em Grãos Cru Gourmet 7kg - Café Pontões,479,455,5% OFF,,
Cafe Gourmet Torra Media Moido Puro Coffee Torrado 500g,55,,,,
Kit Café Torrado E Moído Gourmet 4x250g - Chapada Diamantina,154,145,5% OFF,,
Café Em Pó Baggio- 4 Pacotes - 1.000g - Café Aromatizado,215,35,,(11),5.0
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café Gourmet 100% Arábica Torrado E Moído - Kit 3x250g,83,,,,
Café Gourmet Torrado Em Grãos 100% Arábica Sucafé 1kg,112,103,8% OFF,,
Café 100% Arábica Em Grãos Cru Gourmet 5kg - Café Pontões,319,303,5% OFF,(4),5.0
"Café Expresso 100% Arábica, Torrado E Moido A Lenha",78,,,,
Café Gourmet Piatã Gold Torrado E Moído 100% Arábica 250g,45,,,(8),4.8
Kit 2 Café Tradicional 500g Pó Arábica Moído - Gomes E Bueno,98,78,20% OFF,(2),5.0
Café Vulcânica Gourmet 500g - Notas De Caramelo -seleção 82+,74,,,(8),4.9
Café Gourmet Torrado Em Grão 1kg - Barra Da Estiva,108,,,(3),5.0
Kit 3 Café Especial Gourmet 100% Arábica 500g Torra Média,155,31,,,
Café Torrado E Moído Descafeinado 100% Arabica Member's 500g,149,,,,
Kit 5kg Cafe Gourmet Em Graos 100% Arábica São Sebastião,514,51,,(60),4.7
Café Muchoqueiro Gourmet 100% Arábica Torrado Moído,50,,,(1),4.0
Café moído BEECOFFEE Torrado e Moído Arábica em laminado 1 kg,78,74,5% OFF,(3),5.0
Kit Drip Coffee Yeager,92,69,25% OFF,(1),5.0
Café Torrado Em Grãos Magnus 1kg,139,,,,
2 Café Torrado E Moído G3 Coffee 100% Arábica 250g Sul De Mg,45,43,5% OFF,,
Café Tipo moca torrado moído 250g Vulcânica Cafés Especiais,54,50,8% OFF,,
Café Simões Gourmet Tipo Exportação 100% Arábica Torra Media,88,17,,(2),4.5
4kg De Cafe Moka,353,324,8% OFF,(35),4.8
Café Gourmet 100% Arábica Torrado E Moído 250g,30,,,,
Kit Com 3kg Café Expresso Em Grãos Sehl,389,38,,(2),5.0
Café Especial Torrado E Moído Carmo De Minas 500g Gold,134,123,8% OFF,(3),5.0
"Café Em Pó Baggio, 3 Pacotes, 750g, Café Gourmet Arábica.",149,137,8% OFF,(7),4.9
5kg Café Prima Qualita Torrado E Moído Mister Gourmet Kit 10,599,57,,(3),4.7
Café 100% Arábica Em Grãos Cru Gourmet 2kg - Café Pontões,135,128,5% OFF,(4),5.0
Café Em Pó Gourmet Ilag 100% Arábico,42,21,,,
Café Em Grãos Gourmet Frutas Vermelhas Torrado 500g - Arara,58,,,,
Café Gourmet Torrado Em Grãos Artesanal 250g 100% Arábica,40,,,,
Café Torrado Em Grão Antônio De Pádua- Gourmet Especial 500g,65,,,(1),5.0
Kit 10kg Café Creme Gourmet Torrado Em Grãos Pacotes De 1kg,1.200,100,,(3),5.0
Café Gourmet Especial 2 Pacotes -500g- Torrado Em Grãos,56,28,,,
Cafe Gourmet Espresso 100% Especial 1kg Notas De Chocolate,187,,,(9),4.3
Kit Com 5kg De Café Creme Gourmet Torrado Em Grãos,600,50,,(45),4.9
 Café Orgânico Gourmet Torrado  Moído 500g Intenso Promoção,64,,,(3),5.0
 Café Gourmet Orgânico 100% Arábica 500g Torrado E Moído,67,,,(4),5.0
Café Em Grãos 100% Arábica Gourmet Orgânico Espresso 1kg,136,,,(6),5.0
Bacon Gourmet Artesanal Sabor Diferenciado 3kg ,159,31,,,
Linguiça Gourmet De Porco Defumada Pura De Pernil 2kg,134,,,(3),3.7
Linguiça Gourmet De Porco Defumada Pura De Pernil 1kg,75,15,,(2),5.0
Bacon Gourmet Artesanal Sabor Diferenciado 1kg ,52,,,(12),4.3
Bacon Gourmet Artesanal Sabor Diferenciado 1kg ,59,29,,(5),5.0
Café Em Grãos 100% Arábica Gourmet Orgânico Espresso 2kg,259,25,,,
Café Em Grãos 100% Arábica Gourmet Orgânico Espresso 3kg,389,38,,(3),4.7
 Café Torrado Em Grãos Orgânico Gourmet 100% Arábica 500g ,67,,,(6),5.0
Café Em Grão Verde 100% Arábica Orgânico Para Torrar 1kg,112,,,(28),4.6
Café Gourmet Viakuru 500g Café Kurubi Escolha Moagem,51,,,(21),4.5
Café Especial Lavrarte  86pt Sca - 500g Grãos - Dark Toffee,73,67,8% OFF,,
Café Região Vulcânica - Bourbon Vermelho Fazenda Jangada 1kg,199,,,(2),5.0
Kit 2 Café Gourmet - Vó Liani - Torrado Em Grãos 500g,108,102,5% OFF,,
Café Em Pó Torrado E Moído A Vácuo 500g Envio Imediato,39,,,,
Café Em Grãos Mantissa Fazenda Especial 82 Pontos 500g,146,36,,(1),5.0
Café Gourmet 5kg Em Grao Torrado Expresso 100% Arábica,489,47,,(4),5.0
Kit 2kg Café Gourmet Em Grãos - 100% Arábica,190,,,(1),5.0
Café Gourmet Torrado Em Grãos Espresso Vó Liani 500g,64,58,8% OFF,(2),5.0
Café Verde Cru Especial Bourbon Amarelo Para Cafeteria 1kg,109,,,(1),5.0
Café Torrado Em Grãos Gourmet Vó Liani 500g Balança Dosadora,79,72,8% OFF,,
Café Em Grãos - 1 Kg Café Gourmet - Espresso,149,,,,
Café Gourmet Grãos Ou Moído Torra Média Dimoá 500g,59,,,(2),5.0
Café Em Grao Gourmet Torrado Expresso Arabica 500g Suave,64,50,21% OFF,,
Café Gourmet Aviação 100% Arábica Moído 500g - Especial,62,,,(2),5.0
" Café Torrado Em Grãos Bebida Mole, Gourmet 1kg",78,71,8% OFF,(124),4.7
Café De Açaí Chafe Torrado E Moído Descafeinado - 500 Gramas,33,,,(32),4.0
Kit Com 3 Cafés Em Pó Saborizados 250g Escolha Seu Sabor,129,32,,(10),4.5
